DATE,Open,High,Low,Close,Volume
2018-06-26,169.7931,170.8479,169.181,169.872,39008146.0
2018-06-27,170.5631,171.3627,167.4435,167.5619,52843497.0
2018-06-28,167.3546,169.5759,167.0091,169.0033,46407708.0
2018-06-29,169.8029,170.7112,169.2057,169.4574,36408464.0
2018-07-02,167.868,170.6421,167.5027,170.5927,31770026.0
2018-07-03,171.1949,171.2344,168.4504,168.6183,25512707.0
2018-07-05,169.7141,170.8494,168.8453,170.7112,31626198.0
2018-07-06,171.0962,173.4952,170.7902,173.3668,37005574.0
2018-07-09,174.2356,174.9661,173.5741,174.9266,27362061.0
2018-07-10,175.1438,175.4499,174.4528,175.055,23902488.0
2018-07-11,173.7123,174.8082,173.5544,174.1665,30280553.0
2018-07-12,174.9464,177.1676,174.818,177.1676,27930119.0
2018-07-13,177.1282,177.602,176.6642,177.3157,28067961.0
2018-07-16,177.3453,177.6514,176.595,176.8912,21405310.0
2018-07-17,175.0352,178.3424,175.0155,177.9673,31034075.0
2018-07-18,177.9772,178.1351,177.0887,177.6316,23220839.0
2018-07-19,177.0492,177.5823,176.5358,176.7431,31094145.0
2018-07-20,177.2762,177.8686,176.5062,176.7036,35907619.0
2018-07-23,176.1705,177.3453,175.4696,177.2664,22184720.0
2018-07-24,179.073,179.7246,177.2664,177.9969,36900281.0
2018-07-25,178.0561,180.5933,177.987,180.4847,36022078.0
2018-07-26,178.0463,178.609,177.5132,177.7501,40873485.0
2018-07-27,178.9446,178.994,174.3442,175.3511,59456093.0
2018-07-30,175.3906,175.4597,172.0439,172.8732,60192990.0
2018-07-31,173.505,174.8674,172.5869,174.1961,47285135.0
2018-08-01,174.6107,175.3808,173.8473,174.8575,37101925.0
2018-08-02,173.6235,177.4441,173.5445,177.2367,47178229.0
2018-08-03,177.5033,177.7896,176.7925,177.7797,28934445.0
2018-08-06,177.6711,178.8755,177.4441,178.8262,24808763.0
2018-08-07,179.3099,179.8134,178.9446,179.4777,29895664.0
2018-08-08,179.2309,180.0207,178.7472,179.6949,22680749.0
2018-08-09,179.616,180.2971,179.3198,179.5863,18852898.0
2018-08-10,178.3721,178.9052,177.5428,178.2141,33818464.0
2018-08-13,178.5399,179.6851,177.9387,178.0167,26089195.0
2018-08-14,178.6978,179.3395,177.7402,179.1322,20913021.0
2018-08-15,177.7896,178.2733,175.8448,176.9406,58528016.0
2018-08-16,178.2635,178.6781,177.1775,177.523,27711761.0
2018-08-17,177.0689,178.0068,175.9908,177.5625,36092641.0
2018-08-20,177.9772,178.0217,176.7135,177.4046,24938956.0
2018-08-21,177.9574,179.1223,177.8291,178.0561,26258657.0
2018-08-22,177.6613,178.9545,177.4539,178.7472,18042380.0
2018-08-23,178.4609,179.7196,178.1944,178.4905,25776166.0
2018-08-24,179.0829,180.2971,179.0434,180.1491,23136113.0
2018-08-27,181.0869,181.9853,180.771,181.9853,29343552.0
2018-08-28,182.4394,182.6566,181.8668,182.2519,20277036.0
2018-08-29,182.548,184.4534,182.4987,184.3546,29175591.0
2018-08-30,184.0289,185.1246,183.4168,184.0289,29315453.0
2018-08-31,183.8018,184.789,183.6044,184.2658,28653248.0
2018-09-04,183.7228,184.019,182.4888,183.476,29063537.0
2018-09-05,183.1798,183.1798,180.4847,181.1067,42623326.0
2018-09-06,181.1955,181.4028,178.2733,179.4876,46091403.0
2018-09-07,178.224,180.3366,178.1351,178.7966,46629495.0
2018-09-10,179.7937,179.922,178.4165,179.3988,26131977.0
2018-09-11,178.6584,181.0771,178.2141,180.7809,30116460.0
2018-09-12,180.5341,180.6427,178.6978,180.2478,36203973.0
2018-09-13,181.3239,182.5184,181.2943,182.1729,31133188.0
2018-09-14,182.3012,182.5826,180.9191,181.6398,31224132.0
2018-09-17,181.314,181.4621,178.8558,179.0236,33071197.0
2018-09-18,179.2013,181.3831,179.0829,180.5045,31877347.0
2018-09-19,180.5242,180.9586,179.1915,180.3663,31843377.0
2018-09-20,181.6003,182.6073,181.1757,182.3605,33295820.0
2018-09-21,182.9034,183.1107,181.1363,181.3634,38605353.0
2018-09-24,180.0477,181.9367,179.306,181.8675,34945602.0
2018-09-25,181.7587,182.2532,181.1653,182.1147,25277520.0
2018-09-26,182.2235,183.9444,181.8823,182.2433,36210571.0
2018-09-27,183.0048,184.4389,182.8862,183.7861,33113269.0
2018-09-28,183.2125,184.2312,182.9356,183.7466,28076843.0
2018-10-01,184.7653,185.4675,183.6576,184.1224,27371297.0
2018-10-02,183.9048,185.1164,183.2818,183.707,25618608.0
2018-10-03,184.4686,184.9136,183.618,183.9048,29128683.0
2018-10-04,183.1829,183.2818,179.0686,180.3741,80557283.0
2018-10-05,180.384,180.9576,176.4675,178.1686,83325630.0
2018-10-08,177.3972,178.6559,174.984,177.0807,66864481.0
2018-10-09,177.2291,179.0291,176.784,177.6543,49097949.0
