종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA
용평리조트,6570,170,-2.52%,5000,349288,3162,246,30.99,1.21
넥센,5820,10,-0.17%,500,25804,3116,1436,5.35,3.61
한화3우B,13850,300,2.21%,5000,72879,3112,,2.9,
신세계푸드,78600,1200,-1.50%,5000,2319,3044,274,35.76,1.4
디티알오토모티브,30450,300,1.00%,500,3332,3043,717,5.46,7.09
대한제분,179000,1000,-0.56%,5000,1537,3025,328,5.88,5.74
이월드,3335,220,-6.19%,1000,4281891,3018,46,32.38,3.74
신풍제약,5670,60,-1.05%,500,73839,3004,69,157.5,0.51
삼호,19600,50,-0.25%,5000,6998,2975,909,4.61,8.23
SBS,16300,150,0.93%,5000,43125,2975,51,61.05,0.57
경농,13650,550,-3.87%,500,199207,2961,148,53.53,1.41
진흥기업,2020,5,0.25%,500,49902,2939,351,49.27,1.78
SBS미디어홀딩스,2100,20,-0.94%,500,11935,2938,71,25.93,1.71
현대차증권,10000,50,-0.50%,5000,26963,2934,681,5.8,0.74
한독,21300,300,-1.39%,500,34066,2932,221,36.54,1.09
모토닉,8870,60,-0.67%,500,21733,2927,72,29.87,2.26
한일홀딩스,48450,250,-0.51%,5000,5561,2904,411,0.56,15.79
SK증권,613,6,-0.97%,500,538634,2897,129,15.72,0.37
대원제약,14700,250,1.73%,500,22550,2890,307,12.17,9.27
한세예스24홀딩스,7210,120,-1.64%,500,23867,2884,565,-18.12,-2.69
인스코비,3190,140,-4.20%,500,6048646,2876,53,-33.94,-15.69
환인제약,15350,0,0.00%,500,11944,2855,273,13.27,7.65
현대리바트,13800,300,-2.13%,1000,12451,2834,481,7.29,5.71
삼영무역,15950,200,-1.24%,500,30187,2808,68,9.73,7.73
에이블씨엔씨,10350,50,-0.48%,500,68484,2798,-190,-21.65,-3.08
무림P&P,4485,115,2.63%,2500,129842,2797,1022,4.01,5.68
